Active on port: 4000
black
[75, 54, 19]
('P, I, D, (E), (T) --->', 39.7935, 82.59246643117163, -5.494500000000002, 74.54545454545455, 1551058429.387089)
('P, I, D, (E), (T) --->', 16.46177796936035, 57.75801118494617, -23.33172203063965, 69.74545454545455, 1551058429.647719)
('P, I, D, (E), (T) --->', 6.993, 35.87200559247309, -9.468777969360351, 68.38181818181818, 1551058429.824085)
('P, I, D, (E), (T) --->', 7.40925, 25.345252796236544, 0.4162499999999998, 69.53636363636363, 1551058430.054147)
('P, I, D, (E), (T) --->', 12.427768226623536, 25.10039462474181, 5.018518226623536, 71.27272727272727, 1551058430.208296)
('P, I, D, (E), (T) --->', 15.645121078491211, 28.195318390862116, 3.217352851867675, 72.10909090909091, 1551058430.466145)
('P, I, D, (E), (T) --->', 18.425507972717288, 32.52316716814835, 2.7803868942260763, 73.25454545454545, 1551058430.648279)
('P, I, D, (E), (T) --->', 19.464255477905276, 35.72583906197945, 1.0387475051879882, 72.9090909090909, 1551058430.883066)
('P, I, D, (E), (T) --->', 21.205437561035158, 39.06835709202488, 1.7411820831298819, 72.25454545454545, 1551058431.103549)
('P, I, D, (E), (T) --->', 23.721567695617676, 43.25574624163012, 2.516130134582518, 72.75454545454545, 1551058431.30193)
('P, I, D, (E), (T) --->', 25.574403556823732, 47.20227667763879, 1.8528358612060565, 73.0909090909091, 1551058431.525951)
('P, I, D, (E), (T) --->', 22.208538070678713, 45.80967640949811, -3.365865486145019, 71.32727272727273, 1551058431.728521)
('P, I, D, (E), (T) --->', 20.1465, 43.05133820474906, -2.062038070678714, 69.76363636363637, 1551058431.953255)
('P, I, D, (E), (T) --->', 19.98, 41.505669102374526, -0.1664999999999992, 68.01818181818182, 1551058432.168781)
('P, I, D, (E), (T) --->', 18.315, 39.06783455118726, -1.6649999999999991, 66.4090909090909, 1551058432.360348)
('P, I, D, (E), (T) --->', 15.651000000000002, 35.184917275593634, -2.6639999999999997, 64.35454545454546, 1551058432.625505)
('P, I, D, (E), (T) --->', 11.1555, 28.747958637796817, -4.495500000000002, 62.85454545454545, 1551058432.82934)
('P, I, D, (E), (T) --->', 6.66, 21.03397931889841, -4.4955, 62.31818181818182, 1551058433.069331)
('P, I, D, (E), (T) --->', 2.331, 12.847989659449205, -4.329000000000001, 62.96363636363636, 1551058433.276907)
('P, I, D, (E), (T) --->', -0.8325, 5.591494829724603, -3.1635, 63.64545454545455, 1551058433.463515)
('P, I, D, (E), (T) --->', -3.1635, -0.3677525851376986, -2.331, 64.2909090909091, 1551058433.67329)
('P, I, D, (E), (T) --->', -8.1585, -8.342376292568849, -4.995, 63.93636363636364, 1551058433.889929)
('P, I, D, (E), (T) --->', -12.820500000000001, -16.991688146284424, -4.662000000000001, 64.2090909090909, 1551058434.114796)
('P, I, D, (E), (T) --->', -16.650000000000002, -25.145844073142214, -3.8295000000000012, 63.763636363636365, 1551058434.280476)
('P, I, D, (E), (T) --->', -19.480500000000003, -32.053422036571106, -2.8305000000000007, 63.263636363636365, 1551058434.427279)
('P, I, D, (E), (T) --->', -22.477500000000003, -38.50421101828556, -2.997, 62.43636363636364, 1551058434.625724)
('P, I, D, (E), (T) --->', -25.86503924560547, -45.11714475474825, -3.387539245605467, 61.80909090909091, 1551058434.824715)
('P, I, D, (E), (T) --->', -29.868691497802736, -52.42726387517686, -4.003652252197266, 61.72727272727273, 1551058435.056601)
('P, I, D, (E), (T) --->', -34.17738711547852, -60.39101905306695, -4.308695617675781, 62.32727272727273, 1551058435.221716)
('P, I, D, (E), (T) --->', -34.139085205078125, -64.3345947316116, 0.0383019104003921, 63.654545454545456, 1551058435.386917)
('P, I, D, (E), (T) --->', -39.77367324829102, -71.94097061409681, -5.634588043212894, 63.18181818181818, 1551058435.643316)
('P, I, D, (E), (T) --->', -42.87020333862305, -78.84068864567146, -3.096530090332031, 53.7, 1551058435.895897)
('P, I, D, (E), (T) --->', -44.6169899597168, -84.03733428255254, -1.7467866210937473, 41.527272727272724, 1551058436.086793)
('P, I, D, (E), (T) --->', -45.84176696777344, -87.8604341090497, -1.2247770080566411, 30.436363636363637, 1551058436.248496)
('P, I, D, (E), (T) --->', -44.91225714111329, -88.84247419563815, 0.9295098266601514, 23.490909090909092, 1551058436.404656)
('P, I, D, (E), (T) --->', -44.947774566650395, -89.36901166446947, -0.03551742553710824, 19.736363636363638, 1551058436.629261)
('P, I, D, (E), (T) --->', -45.47593240356446, -90.16043823579919, -0.5281578369140618, 16.2, 1551058436.841923)
('P, I, D, (E), (T) --->', -44.52770352172852, -89.60792263962811, 0.9482288818359379, 15.909090909090908, 1551058437.137907)
('P, I, D, (E), (T) --->', -37.06317031860352, -81.86713163841758, 7.464533203125001, 34.81818181818182, 1551058437.526083)
('P, I, D, (E), (T) --->', -20.51487515258789, -61.44844097179668, 16.548295166015627, 66.80909090909091, 1551058437.685865)
('P, I, D, (E), (T) --->', -8.881419342041015, -39.605639827939356, 11.633455810546875, 74.13636363636364, 1551058438.187967)
('P, I, D, (E), (T) --->', 18.5314479675293, -1.2713719464403788, 27.412867309570316, 88.10909090909091, 1551058438.38766)
('P, I, D, (E), (T) --->', 27.452912063598635, 26.817226090378448, 8.921464096069336, 75.00909090909092, 1551058438.624089)
('P, I, D, (E), (T) --->', 32.634002540588384, 46.04261558577761, 5.181090476989748, 56.03636363636364, 1551058438.786213)
('P, I, D, (E), (T) --->', 35.298, 58.31930779288881, 2.6639974594116183, 45.79090909090909, 1551058438.95036)
('P, I, D, (E), (T) --->', 39.79350254058838, 68.95315643703279, 4.495502540588376, 32.1, 1551058439.20642)
('P, I, D, (E), (T) --->', 40.626000000000005, 75.1025782185164, 0.832497459411627, 39.154545454545456, 1551058439.44905)
('P, I, D, (E), (T) --->', 37.33189597320557, 74.88318508246377, -3.294104026794436, 80.05454545454545, 1551058439.688484)
('P, I, D, (E), (T) --->', 23.1655294418335, 60.60712198306538, -14.16636653137207, 78.7090909090909, 1551058439.853162)
('P, I, D, (E), (T) --->', 13.628887275695801, 43.932448267228494, -9.536642166137698, 72.11818181818182, 1551058440.054518)
('P, I, D, (E), (T) --->', 10.350311325073243, 32.31653545868749, -3.2785759506225585, 70.27272727272727, 1551058440.252226)
('P, I, D, (E), (T) --->', 12.275068702697755, 28.4333364320415, 1.9247573776245126, 71.2090909090909, 1551058440.441374)
('P, I, D, (E), (T) --->', 14.945824127197266, 29.162492343218016, 2.670755424499511, 72.26363636363637, 1551058440.613657)
('P, I, D, (E), (T) --->', 16.05709780883789, 30.638343980446898, 1.1112736816406255, 73.2, 1551058440.832426)
('P, I, D, (E), (T) --->', 14.722516571044922, 30.041688561268373, -1.3345812377929693, 72.5909090909091, 1551058441.035713)
('P, I, D, (E), (T) --->', 13.701731025695802, 28.722575306329986, -1.0207855453491206, 72.04545454545455, 1551058441.248884)
('P, I, D, (E), (T) --->', 13.188852287292482, 27.550139940457477, -0.5128787384033195, 71.7090909090909, 1551058441.450878)
('P, I, D, (E), (T) --->', 13.779536544799805, 27.554606515028546, 0.5906842575073235, 71.36363636363636, 1551058441.677164)
('P, I, D, (E), (T) --->', 15.030814430236818, 28.808117687751093, 1.2512778854370126, 71.42727272727272, 1551058441.846167)
